reg_number,bank,branch_name,address,city,branch_phone,url,note,history
0307,Nordea,Nordea Ballerup Afdeling,"Centrumgaden 1, 2750 Ballerup",Ballerup,+4570333333,www.nordea.dk,Ballerup,
0308,Nordea,Nordea Skovlunde Afdeling,"Torvestrædet 22- 24, 2740 Skovlunde",Skovlunde,+4570333333,www.nordea.dk,Skovlunde Centret,
0309,Nordea,,,,,www.nordea.dk,,
0311,Nordea,Nordea Korsør Afdeling,"Algade 38 - 40, 4220 Korsør",Korsør,+4570333333,www.nordea.dk,"Algade, Korsør",
0312,Nordea,Nordea Albertslund Afdeling,"Bytorvet 2, 2620 Albertslund",Albertslund,+4570333333,www.nordea.dk,Albertslund,
0314,Nordea,Nordea Næstved Afdeling,"Axeltorv 2, 4700 Næstved",Næstved,+4570333333,www.nordea.dk,Næstved,
0315,Nordea,Nordea Taastrup Afdeling,"Taastrup Hovedgade 101, 2630 Taastrup",Taastrup,+4570333333,www.nordea.dk,Taastrup,
0316,Nordea,Nordea Taastrup Afdeling,"Taastrup Hovedgade 101, 2630 Taastrup",Taastrup,+4570333333,www.nordea.dk,Taastrup,
0317,Nordea,Nordea Taastrup Afdeling,"Taastrup Hovedgade 101, 2630 Taastrup",Taastrup,+4570333333,www.nordea.dk,Taastrup,"Hedehusene, closed 2014"
0319,Nordea,Nordea Værløse Afdeling,"Bymidten 50, 3500 Værløse",Værløse,+4570333333,www.nordea.dk,Værløse,
0320,Nordea,Nordea Ballerup Afdeling,"Centrumgaden 1, 2750 Ballerup",Ballerup,+4570333333,www.nordea.dk,Ballerup,Smørum
0321,Nordea,Nordea Skovlunde Afdeling,"Torvestrædet 22- 24, 2740 Skovlunde",Skovlunde,+4570333333,www.nordea.dk,Skovlunde Centret,
0322,Nordea,Nordea Ballerup Afdeling,"Centrumgaden 1, 2750 Ballerup",Ballerup,+4570333333,www.nordea.dk,Ballerup,Måløv
0327,Nordea,Nordea Roskilde Afdeling,"Algade 16, 4000 Roskilde",Roskilde,+4570333333,www.nordea.dk,Roskilde,
0328,Nordea,Nordea Roskilde Afdeling,"Algade 16, 4000 Roskilde",Roskilde,+4570333333,www.nordea.dk,Roskilde,
0329,Nordea,Nordea Jyllinge Afdeling,"Jyllinge Centret 6, 4040 Jyllinge",Jyllinge,+4570333333,www.nordea.dk,Jyllinge,
0333,Nordea,Nordea Skibby Afdeling,"Hovedgaden 48, 4050 Skibby",Skibby,+4570333333,www.nordea.dk,Skibby,
0336,Nordea,,,,,www.nordea.dk,,
0337,Nordea,Nordea Jyllinge Afdeling,"Jyllinge Centret 6, 4040 Jyllinge",Jyllinge,+4570333333,www.nordea.dk,Jyllinge,
0338,Nordea,,,,,www.nordea.dk,,
0339,Nordea,Nordea Ringsted Afdeling,"Torvet 10 - 12, 4100 Ringsted",Ringsted,+4570333333,www.nordea.dk,Ringsted,
